LINEAS 1. 2. C4. 1 Poveda,PARADA,LAT,LON,LINEAS
Parada Av. del Instituto/Residencia de ancianos. ,"Av. del Instituto, 129",40.29215,-3.443031,L1 / L1 Guijar
"Parada Av. del Instituto, 129. ","Av. del Instituto, 129",40.292150,-3.443031,L1 / L1 Guijar
"Parada Av. del Instituto, 125/Colonia de los Almendros. ","Av. del Instituto, 125",40.292242,-3.443084,L1 / L1 Guijar
Parada Av. del Instituto 109. ,"Av. del Instituto, 109",40.292242,-3.443084,L1 / L1 Guijar
"Parada Av. del Instituto, 47. ","Av. del Instituto, 47",40.295378,-3.441627,L1 / L1 Guijar
"Parada CalleValdemaría, 24 (Parque del Mirador). ","Calle Valdemaría, 24",40.293971,-3.439879,L1 / L1 Guijar /L2
"Parada CalleValdemaría, 29.","Calle Valdemaría, 29",40.293961,-3.439836,L1 / L1 Guijar /L2
"Parada Camino del Molino, 5. ","Camino del Molino, 5",40.295087,-3.432655,L1 / L1 Guijar
"Parada CalleMar de Alborán, 4 (Conservatorio). ","Calle Mar de Alborán, 4",40.296554,-3.432126,L1 / L1 Guijar
"Parada Calle Real, 107 (Guardia Civil). ","Calle Real, 107",40.298568,-3.432027,L1 / L1 Guijar /L2
"Parada Calle Real, 75. (Cruz Roja)","Calle Real, 75",40.299333,-3.434278,L1 / L1 Guijar /L2
"Parada Plaza de la Constitución, 5. ","Plaza de la Constitución, 5",40.300702,-3.438015,L1 / L1 Guijar /L2
"Parada Ctra. de Loeches, 7 (Zoco).","Ctra. de Loeches, 7",40.302198,-3.441546,L1 / L1 Guijar /L2
"Parada Ctra. de Loeches, 37 (Parque Municipal) ","Ctra. de Loeches, 37",40.303305,-3.444305,L1 / L1 Guijar /L2
"Parada Ctra. de Loeches, 55. ","Ctra. de Loeches, 55",40.304386,-3.445667,L1 / L1 Guijar /L2
"Parada Calle Solidaridad, 1. ","Calle Solidaridad, 1",40.306918,-3.447526,L1
"Parada Calle Comprensión, 11 esq. Avd. de los Derechos Humanos. ","Calle Comprensión, 11",40.308058,-3.444091,L1
"Parada Calle Comprensión, 3 esq. Av. de la Tolerancia. ","Calle Comprensión, 3",40.308992,-3.443796,L1/ C4
"Parada Calle Felicidad, 4 (Centro de Salud Arganda II) ","Calle Felicidad, 4",40.310918,-3.444088,L1/ C4
"Parada Calle Felicidad, 1 esq. Av. de la Tolerancia. ","Calle Felicidad, 1",40.309969,-3.445955,L1/ C4
Parada Av. de Alcalá de Henares (Campo de fútbol) ,Av. de Alcalá de Henares,40.310901,-3.449079,L1 / L1 Guijar
"Parada Av. de los Villares, 2. ","Av. de los Villares, 2",40.310901,-3.449079,L1
"Parada Av. de los Villares, 20.","Av. de los Villares, 20",40.310901,-3.449079,L1
"Parada Av. de los Villares, 36. ","Av. de los Villares, 36",40.310901,-3.449079,L1
"Parada Calle Alcotán esq. Calle Condor, 1.",Calle Alcotán,40.315702,-3.452568,L1 / C4
"Parada Av. de Valdearganda, 11. ","Av. de Valdearganda, 11",40.315894,-3.455369,L1
"Parada Av. de Valdearganda, 25. ","Camino de Valdearganda, 25",40.318998,-3.457773,L1
"Parada Ctra. de Campo Real, Km. 2,300. (RYMSA) ","Ctra. de Campo Real (M-300), Km. 2,300.",40.319680,-3.467024,L1 /L1 Guijar
Parada Estación de Metro de La Poveda. Ctra. de Campo Real. ,Ctra. de Campo Real (M-300),40.318787,-3.477456,L1 /L1 Guijar
"Parada Ctra. de Campo Real, Km. 1,200. Azucarera. ","Ctra. de Campo Real (M-300), Km. 1,200",40.317799,-3.480329,L1 /L1 Guijar
"Parada Calle Gran Vía, 18. La Poveda. ","Calle Gran Vía, 18",40.315948,-3.480647,L1 /L1 Guijar/ L2
